10,1,1
10,2,2
10,3,3
10,4,4
10,5,5
20,1,6
20,2,7
20,3,8
20,4,9
20,5,10
30,1,11
30,2,12
30,3,13
30,4,14
30,5,15
40,1,16
40,2,17
40,3,18
40,4,19
40,5,20
50,1,21
50,2,22
50,3,23
50,4,24
50,5,25
60,1,26
60,2,27
60,3,28
60,4,29
60,5,30
70,1,31
70,2,32
70,3,33
70,4,34
70,5,35
80,1,36
80,2,37
80,3,38
80,4,39
80,5,40
90,1,41
90,2,42
90,3,43
90,4,44
90,5,45
100,1,46
100,2,47
100,3,48
100,4,49
100,5,50
110,1,51
110,2,52
110,3,53
110,4,54
110,5,55
120,1,56
120,2,57
120,3,58
120,4,59
120,5,60
130,1,61
130,2,62
130,3,63
130,4,64
130,5,65
140,1,66
140,2,67
140,3,68
140,4,69
140,5,70
150,1,71
150,2,72
150,3,73
150,4,74
150,5,75
200,1,96
200,2,97
200,3,98
200,4,99
200,5,100
